Element(s);Structure;Property;Value;Temp;Reference
Rh,Au;l12;a;4.03086;0;file=L12/Au3Rh/Au3Rh-L1_2.dat date=2013-02-19
Rh,Au;l12;B;193.43000;0;file=L12/Au3Rh/Au3Rh-L1_2.dat date=2013-02-19
Rh,Au;l12;Eheat;0.13421;0;file=L12/Au3Rh/Au3Rh-L1_2.dat date=2013-02-19
Ru,Au;l12;a;4.02770;0;file=L12/Au3Ru/Au3Ru-L1_2.dat date=2013-02-19
Ru,Au;l12;B;200.13000;0;file=L12/Au3Ru/Au3Ru-L1_2.dat date=2013-02-19
Ru,Au;l12;Eheat;0.42348;0;file=L12/Au3Ru/Au3Ru-L1_2.dat date=2013-02-19
Sc,Au;l12;a;4.15500;0;file=L12/Au3Sc/Au3Sc-L1_2.dat date=2013-02-19
Sc,Au;l12;B;140.14000;0;file=L12/Au3Sc/Au3Sc-L1_2.dat date=2013-02-19
Sc,Au;l12;Eheat;-0.53184;0;file=L12/Au3Sc/Au3Sc-L1_2.dat date=2013-02-19
Ti,Au;l12;a;4.08838;0;file=L12/Au3Ti/Au3Ti-L1_2.dat date=2013-02-18
Ti,Au;l12;B;161.54000;0;file=L12/Au3Ti/Au3Ti-L1_2.dat date=2013-02-18
Ti,Au;l12;Eheat;-0.14981;0;file=L12/Au3Ti/Au3Ti-L1_2.dat date=2013-02-18
Y,Au;l12;a;4.28498;0;file=L12/Au3Y/Au3Y-L1_2.dat date=2013-02-19
Y,Au;l12;B;118.88000;0;file=L12/Au3Y/Au3Y-L1_2.dat date=2013-02-19
Y,Au;l12;Eheat;-0.59160;0;file=L12/Au3Y/Au3Y-L1_2.dat date=2013-02-19
Zn,Au;l12;a;4.03840;0;file=L12/Au3Zn/Au3Zn-L1_2.dat date=2013-02-19
Zn,Au;l12;B;156.90000;0;file=L12/Au3Zn/Au3Zn-L1_2.dat date=2013-02-19
Zn,Au;l12;Eheat;-0.15823;0;file=L12/Au3Zn/Au3Zn-L1_2.dat date=2013-02-19
Zr,Au;l12;a;4.19128;0;file=L12/Au3Zr/Au3Zr-L1_2.dat date=2013-02-17
Zr,Au;l12;B;157.55000;0;file=L12/Au3Zr/Au3Zr-L1_2.dat date=2013-02-17
Zr,Au;l12;Eheat;-0.28562;0;file=L12/Au3Zr/Au3Zr-L1_2.dat date=2013-02-17
Ag,Ca;l12;a;4.97487;0;file=L12/Ca3Ag/Ca3Ag-L1_2.dat date=2013-02-19
Ag,Ca;l12;B;24.59000;0;file=L12/Ca3Ag/Ca3Ag-L1_2.dat date=2013-02-19
Ag,Ca;l12;Eheat;-0.03476;0;file=L12/Ca3Ag/Ca3Ag-L1_2.dat date=2013-02-19
Al,Ca;l12;a;4.98044;0;file=L12/Ca3Al/Ca3Al-L1_2.dat date=2013-02-19
Al,Ca;l12;B;23.81000;0;file=L12/Ca3Al/Ca3Al-L1_2.dat date=2013-02-19
Al,Ca;l12;Eheat;-0.05165;0;file=L12/Ca3Al/Ca3Al-L1_2.dat date=2013-02-19
Au,Ca;l12;a;4.86532;0;file=L12/Ca3Au/Ca3Au-L1_2.dat date=2013-02-19
Au,Ca;l12;B;29.13000;0;file=L12/Ca3Au/Ca3Au-L1_2.dat date=2013-02-19
Au,Ca;l12;Eheat;-0.26205;0;file=L12/Ca3Au/Ca3Au-L1_2.dat date=2013-02-19
Cd,Ca;l12;a;5.06800;0;file=L12/Ca3Cd/Ca3Cd-L1_2.dat date=2013-02-19
Cd,Ca;l12;B;23.56000;0;file=L12/Ca3Cd/Ca3Cd-L1_2.dat date=2013-02-19
Cd,Ca;l12;Eheat;-0.12201;0;file=L12/Ca3Cd/Ca3Cd-L1_2.dat date=2013-02-19
Co,Ca;l12;a;4.73566;0;file=L12/Ca3Co/Ca3Co-L1_2.dat date=2013-02-19
Co,Ca;l12;B;28.99000;0;file=L12/Ca3Co/Ca3Co-L1_2.dat date=2013-02-19
Co,Ca;l12;Eheat;0.44868;0;file=L12/Ca3Co/Ca3Co-L1_2.dat date=2013-02-19
Cu,Ca;l12;a;4.91481;0;file=L12/Ca3Cu/Ca3Cu-L1_2.dat date=2013-02-19
Cu,Ca;l12;B;23.97000;0;file=L12/Ca3Cu/Ca3Cu-L1_2.dat date=2013-02-19
Cu,Ca;l12;Eheat;0.15861;0;file=L12/Ca3Cu/Ca3Cu-L1_2.dat date=2013-02-19
Hf,Ca;l12;a;5.07475;0;file=L12/Ca3Hf/Ca3Hf-L1_2.dat date=2013-02-19
Hf,Ca;l12;B;27.15000;0;file=L12/Ca3Hf/Ca3Hf-L1_2.dat date=2013-02-19
Hf,Ca;l12;Eheat;0.52819;0;file=L12/Ca3Hf/Ca3Hf-L1_2.dat date=2013-02-19
Ir,Ca;l12;a;4.63211;0;file=L12/Ca3Ir/Ca3Ir-L1_2.dat date=2013-02-19
Ir,Ca;l12;B;43.12000;0;file=L12/Ca3Ir/Ca3Ir-L1_2.dat date=2013-02-19
Ir,Ca;l12;Eheat;0.06370;0;file=L12/Ca3Ir/Ca3Ir-L1_2.dat date=2013-02-19
La,Ca;l12;a;5.41323;0;file=L12/Ca3La/Ca3La-L1_2.dat date=2013-02-19
La,Ca;l12;B;20.40000;0;file=L12/Ca3La/Ca3La-L1_2.dat date=2013-02-19
La,Ca;l12;Eheat;0.07756;0;file=L12/Ca3La/Ca3La-L1_2.dat date=2013-02-19
Mg,Ca;l12;a;5.20771;0;file=L12/Ca3Mg/Ca3Mg-L1_2.dat date=2013-02-19
Mg,Ca;l12;B;21.18000;0;file=L12/Ca3Mg/Ca3Mg-L1_2.dat date=2013-02-19
Mg,Ca;l12;Eheat;-0.02069;0;file=L12/Ca3Mg/Ca3Mg-L1_2.dat date=2013-02-19
Ni,Ca;l12;a;4.78090;0;file=L12/Ca3Ni/Ca3Ni-L1_2.dat date=2013-02-19
Ni,Ca;l12;B;27.80000;0;file=L12/Ca3Ni/Ca3Ni-L1_2.dat date=2013-02-19
Ni,Ca;l12;Eheat;0.23474;0;file=L12/Ca3Ni/Ca3Ni-L1_2.dat date=2013-02-19
Pb,Ca;l12;a;5.00015;0;file=L12/Ca3Pb/Ca3Pb-L1_2.dat date=2013-02-19
Pb,Ca;l12;B;28.88000;0;file=L12/Ca3Pb/Ca3Pb-L1_2.dat date=2013-02-19
Pb,Ca;l12;Eheat;-0.43112;0;file=L12/Ca3Pb/Ca3Pb-L1_2.dat date=2013-02-19
Pd,Ca;l12;a;4.80512;0;file=L12/Ca3Pd/Ca3Pd-L1_2.dat date=2013-02-19
Pd,Ca;l12;B;30.89000;0;file=L12/Ca3Pd/Ca3Pd-L1_2.dat date=2013-02-19
Pd,Ca;l12;Eheat;-0.15427;0;file=L12/Ca3Pd/Ca3Pd-L1_2.dat date=2013-02-19
Pt,Ca;l12;a;4.71716;0;file=L12/Ca3Pt/Ca3Pt-L1_2.dat date=2013-02-19
Pt,Ca;l12;B;38.16000;0;file=L12/Ca3Pt/Ca3Pt-L1_2.dat date=2013-02-19
Pt,Ca;l12;Eheat;-0.27326;0;file=L12/Ca3Pt/Ca3Pt-L1_2.dat date=2013-02-19
Rh,Ca;l12;a;4.70271;0;file=L12/Ca3Rh/Ca3Rh-L1_2.dat date=2013-02-19
Rh,Ca;l12;B;35.10000;0;file=L12/Ca3Rh/Ca3Rh-L1_2.dat date=2013-02-19
Rh,Ca;l12;Eheat;0.01965;0;file=L12/Ca3Rh/Ca3Rh-L1_2.dat date=2013-02-19
Ru,Ca;l12;a;4.66438;0;file=L12/Ca3Ru/Ca3Ru-L1_2.dat date=2013-02-19
Ru,Ca;l12;B;38.31000;0;file=L12/Ca3Ru/Ca3Ru-L1_2.dat date=2013-02-19
Ru,Ca;l12;Eheat;0.40244;0;file=L12/Ca3Ru/Ca3Ru-L1_2.dat date=2013-02-19
Sc,Ca;l12;a;5.21869;0;file=L12/Ca3Sc/Ca3Sc-L1_2.dat date=2013-02-19
Sc,Ca;l12;B;23.55000;0;file=L12/Ca3Sc/Ca3Sc-L1_2.dat date=2013-02-19
Sc,Ca;l12;Eheat;0.20664;0;file=L12/Ca3Sc/Ca3Sc-L1_2.dat date=2013-02-19
Ti,Ca;l12;a;5.04676;0;file=L12/Ca3Ti/Ca3Ti-L1_2.dat date=2013-02-18
Ti,Ca;l12;B;25.24000;0;file=L12/Ca3Ti/Ca3Ti-L1_2.dat date=2013-02-18
Ti,Ca;l12;Eheat;0.52550;0;file=L12/Ca3Ti/Ca3Ti-L1_2.dat date=2013-02-18
Y,Ca;l12;a;5.33188;0;file=L12/Ca3Y/Ca3Y-L1_2.dat date=2013-02-19
Y,Ca;l12;B;22.33000;0;file=L12/Ca3Y/Ca3Y-L1_2.dat date=2013-02-19
Y,Ca;l12;Eheat;0.13252;0;file=L12/Ca3Y/Ca3Y-L1_2.dat date=2013-02-19
Zn,Ca;l12;a;4.99814;0;file=L12/Ca3Zn/Ca3Zn-L1_2.dat date=2013-02-19
Zn,Ca;l12;B;22.56000;0;file=L12/Ca3Zn/Ca3Zn-L1_2.dat date=2013-02-19
